car,mașină|mașina
bus,autobuz|autobuzul
train,tren|trenul
train station,gară|gara
bus stop,stație de autobuz|stația de autobuz
plane,avion|avionul
ship,navă|nava
lorry,autocamion|autocamionul
bicycle,bicicletă|bicicleta
motorcycle,motocicletă|motocicleta
taxi,taxi|taxiul
traffic light,semafor|semaforul
car park,parcare|parcarea
road,șosea|șoseaua
battery,baterie|bateria
motor,motor|motorul
airbag,airbag|airbagul
steering wheel,volan|volanul
seatbelt,centură de siguranță|centura de siguranță
tyre,pneu|pneul
rear trunk,portbagaj|portbagajul
ticket vending machine,automat de bilete|automatul de bilete
ticket office,casă de bilete|casa de bilete
subway,metrou|metroul
high-speed train,tren de mare viteză|trenul de mare viteză
locomotive,locomotivă|locomotiva
tram,tramvai|tramvaiul
school bus,autobuz școlar|autobuzul școlar
minibus,microbuz|microbuzul
airport,aeroport|aeroportul
airline,linie aeriană|linia aeriană
helicopter,elicopter|elicopterul
first class,clasă întâi|clasa întâi
economy class,clasă economică|clasa economică
business class,clasă business|clasa business
life jacket,vestă de salvare|vesta de salvare
container,container|containerul
submarine,submarin|submarinul
cruise ship,navă de croazieră|nava de croazieră
container ship,portcontainer|portcontainerul
yacht,iaht|iahtul
ferry,feribot|feribotul
harbour,port|portul
lifeboat,barcă de salvare|barca de salvare
radar,radar|radarul
street light,iluminat stradal|iluminatul stradal
pavement,pavaj|pavajul
petrol station,stație de alimentare|stația de alimentare
construction site,șantier de construcție|șantierul de construcție
pedestrian crossing,trecere de pietoni|trecerea de pietoni
traffic jam,ambuteiaj|ambuteiajul
motorway,autostradă|autostrada
tank,tanc|tancul
excavator,excavator|excavatorul
tractor,tractor|tractorul
trailer,remorcă|remorca
motor scooter,scuter|scuterul
cable car,telecabină|telecabina
