swimming pool,piscină|piscina
bell,sonerie|soneria
neighbour,vecin|vecinul
to fail,a eșua|eșuez|eșuând|eșuat
to choose,a alege|aleg|alegând|ales
to shoot,a împușca|împușc|împușcând|împușcat
to vote,a vota|votez|votând|votat
to fall,a cădea|cad|căzând|căzut
to defend,a apăra|apăr|apărând|apărat
to attack,a ataca|atac|atacând|atacat
to steal,a fura|fur|furând|furat
to burn,a arde|ard|arzând|ars
to rescue,a salva|salvez|salvând|salvat
to smoke,a fuma|fumez|fumând|fumat
to fly,a zbura|zbor|zburând|zburat
to carry,a căra|car|cărând|cărat
to spit,a scuipa|scuip|scuipând|scuipat
to kick,a șuta|șutez|șutând|șutat
to bite,a mușca|mușc|mușcând|mușcat
to breathe,a respira|respir|respirând|respirat
to smell,a mirosi|miros|mirosind|mirosit
to cry,a plânge|plâng|plângând|plâns
to sing,a cânta|cânt|cântând|cântat
to smile,a zâmbi|zâmbesc|zâmbind|zâmbit
to laugh,a râde|râd|râzând|râs
to grow,a crește|cresc|crescând|crescut
to shrink,a se micșora|mă micșorez|micșorându-mă|micșorat
to argue,a se certa|mă cert|certându-mă|certat
to threaten,a amenința|ameninț|amenințând|amenințat
to share,a împărți|împart|împărțind|împărțit
to feed,a hrăni|hrănesc|hrănind|hrănit
to hide,a ascunde|ascund|ascunzând|ascuns
to warn,a avertiza|avertizez|avertizând|avertizat
to swim,a înota|înot|înotând|înotat
to jump,a sări|sar|sărind|sărit
to roll,a se rostogoli|mă rostogolesc|rostogolindu-mă|rostogolit
to lift,a ridica|ridic|ridicând|ridicat
to dig,a săpa|sap|săpând|săpat
to copy,a copia|copiez|copiind|copiat
to deliver,a livra|livrez|livrând|livrat
to look for,a căuta|caut|căutând|căutat
to practice,a practica|practic|practicând|practicat
to travel,a călători|călătoresc|călătorind|călătorit
to paint,a picta|pictez|pictând|pictat
to take a shower,a face duș|fac|făcând|făcut
to open,a deschide|deschid|deschizând|deschis
to lock,a încuia|încui|încuind|încuiat
to wash,a spăla|spăl|spălând|spălat
to pray,a se ruga|mă rog|rugându-mă|rugat
to cook,a găti|gătesc|gătind|gătit
