coffee,cafea|cafeaua
tea,ceai|ceaiul
beer,bere|berea
wine,vin|vinul
salad,salată|salata
soup,supă|supa
dessert,desert|desertul
breakfast,mic dejun|micul dejun
lunch,prânz|prânzul
dinner,cină|cina
pizza,pizza|pizza
bus,autobuz|autobuzul
train,tren|trenul
train station,gară|gara
bus stop,stație de autobuz|stația de autobuz
plane,avion|avionul
ship,navă|nava
lorry,autocamion|autocamionul
bicycle,bicicletă|bicicleta
motorcycle,motocicletă|motocicleta
taxi,taxi|taxiul
traffic light,semafor|semaforul
car park,parcare|parcarea
road,șosea|șoseaua
clothing,îmbrăcăminte|îmbrăcămintea
shoe,pantof|pantoful
coat,palton|paltonul
sweater,pulover|puloverul
shirt,cămașă|cămașa
jacket,jachetă|jacheta
suit,costum|costumul
trousers,pantaloni|pantalonii
dress,rochie|rochia
T-shirt,tricou|tricoul
sock,șosetă|șoseta
bra,sutien|sutienul
underpants,boxeri|boxerii
glasses,ochelari|ochelarii
handbag,geantă de mână|geanta de mână
purse,poşetă|poşeta
wallet,portofel|portofelul
ring,inel|inelul
hat,pălărie|pălăria
watch,ceas|ceasul
pocket,buzunar|buzunarul
What's your name?,Cum te numești?
My name is David,Numele meu este David
I'm 22 years old,Am 22 de ani
How are you?,Ce mai faci?
Are you ok?,Ești bine?
