red,roșu|roșie|roșu|roșii
blue,albastru|albastră|albastru|albaștri|albastre
green,verde|verde|verde|verzi
yellow,galben|galbenă|galben|galbeni|galbene
slow,lent|lentă|lent|lenți|lente
quick,rapid|rapidă|rapid|rapizi|rapide
funny,amuzant|amuzantă|amuzant|amuzanți|amuzante
unfair,nedrept|nedreaptă|nedrept|nedrepți|nedrepte
fair,corect|corectă|corect|corecți|corecte
difficult,dificil|dificilă|dificil|dificili|dificile
easy,simplu|simplă|simplu|simpli|simple
This is difficult,Este dificil
rich,bogat|bogată|bogat|bogați|bogate
poor,sărac|săracă|sărac|săraci|sărace
strong,puternic|puternică|puternic|puternici|puternice
weak,slab|slabă|slab|slabi|slabe
safe,sigur|sigură|sigur|siguri|sigure
tired,obosit|obosită|obosit|obosiți|obosite
proud,mândru|mândră|mândru|mândri|mândre
full,plin|plină|plin|plini|pline
sick,bolnav|bolnavă|bolnav|bolnavi|bolnave
healthy,sănătos|sănătoasă|sănătos|sănătoși|sănătoase
angry,furios|furioasă|furios|furioși|furioase
low,jos|joasă|jos|joși|joase
high,înalt|înaltă|înalt|înalți|înalte
straight,drept|dreaptă|drept|drepți|drepte
every,fiecare
always,mereu
actually,de fapt
again,din nou
already,deja
less,mai puțin
most,cel mai
more,mai mult
I want more,Vreau mai mult
none,niciunul
very,foarte
animal,animal|animalul
pig,porc|porcul
cow,vacă|vaca
horse,cal|calul
dog,câine|câinele
sheep,oaie|oaia
monkey,maimuță|maimuța
cat,pisică|pisica
bear,urs|ursul
chicken,găină|găina
duck,rață|rața
butterfly,fluture|fluturele
bee,albină|albina
