800,opt sute
803,opt sute trei
808,opt sute opt
838,opt sute treizeci și opt
880,opt sute optzeci
900,nouă sute
904,nouă sute patru
909,nouă sute nouă
949,nouă sute patruzeci și nouă
990,nouă sute nouăzeci
tiger,tigru|tigrul
mouse,șoarece|șoarecele
rat,șobolan|șobolanul
rabbit,iepure|iepurele
lion,leu|leul
donkey,măgar|măgarul
elephant,elefant|elefantul
bird,pasăre|pasărea
cockerel,cocoș|cocoșul
pigeon,porumbel|porumbelul
goose,gâscă|gâsca
insect,insectă|insecta
bug,gândac|gândacul
mosquito,țânțar|țânțarul
fly,muscă|musca
ant,furnică|furnica
whale,balenă|balena
shark,rechin|rechinul
dolphin,delfin|delfinul
snail,melc|melcul
frog,broască|broasca
often,deseori
immediately,imediat
suddenly,deodată
although,deși
gymnastics,gimnastică|gimnastica
tennis,tenis|tenisul
running,alergare|alergarea
cycling,ciclism|ciclismul
golf,golf|golful
ice skating,patinaj|patinajul
football,fotbal|fotbalul
basketball,baschet|baschetul
swimming,înot|înotul
diving,scufundare|scufundarea
hiking,drumeție|drumeția
United Kingdom,Regatul Unit
Spain,Spania
Switzerland,Elveția
Italy,Italia
