book,carte|cartea
library,bibliotecă|biblioteca
homework,temă pentru acasă|tema pentru acasă
exam,examen|examenul
lesson,lecție|lecția
science,științe|științele
history,istorie|istoria
art,arte|artele
English,engleză|engleza
French,franceză|franceza
pen,pix|pixul
pencil,creion|creionul
3%,trei la sută
first,primul
second,al doilea
third,al treilea
fourth,al patrulea
result,rezultat|rezultatul
square,pătrat|pătratul
circle,cerc|cercul
area,arie|aria
research,cercetare|cercetarea
degree,grad|gradul
bachelor,licență|licența
master,masterat|masteratul
x < y,x este mai mic decât y
x > y,x este mai mare decât y
stress,stres|stresul
insurance,asigurare|asigurarea
staff,personal|personalul
department,departament|departamentul
salary,salariu|salariul
address,adresă|adresa
letter,scrisoare|scrisoarea
captain,căpitan|căpitanul
detective,detectiv|detectivul
pilot,pilot|pilotul
professor,profesor|profesorul
teacher,profesor|profesorul
lawyer,avocat|avocatul
secretary,secretară|secretara
assistant,asistent|asistentul
judge,judecător|judecătorul
director,director|directorul
manager,manager|managerul
cook,bucătar|bucătarul
taxi driver,șofer de taxi|șoferul de taxi
bus driver,șofer de autobuz|șoferul de autobuz
criminal,infractor|infractorul
model,model|modelul
