France,Franța
Germany,Germania
Thailand,Thailanda
Singapore,Singapore
Russia,Rusia
Japan,Japonia
Israel,Israel
India,India
China,China
The United States of America,Statele Unite ale Americii
Mexico,Mexic
Canada,Canada
Chile,Chile
Brazil,Brazilia
Argentina,Argentina
South Africa,Africa de Sud
Nigeria,Nigeria
Morocco,Maroc
Libya,Libia
Kenya,Kenya
Algeria,Algeria
Egypt,Egipt
New Zealand,Noua Zeelandă
Australia,Australia
Africa,Africa
Europe,Europa
Asia,Asia
America,America
quarter of an hour,un sfert de oră
half an hour,jumătate de oră
three quarters of an hour,trei sferturi de oră
1:00,ora unu
2:05,două şi cinci minute
3:10,trei şi zece minute
4:15,patru și un sfert
5:20,cinci și douăzeci
6:25,șase și douăzeci și cinci
7:30,șapte și jumătate
8:35,opt și treizeci și cinci
9:40,zece fără douăzeci
10:45,unsprezece fără un sfert
11:50,douăsprezece fără zece
12:55,unu fără cinci
one o'clock in the morning,unu dimineața
two o'clock in the afternoon,două după-amiaza
last week,săptămâna trecută
this week,săptămâna aceasta
next week,săptămâna viitoare
last year,anul trecut
this year,anul acesta
