ash,cenușă|cenușa
fire,foc|focul
diamond,diamant|diamantul
moon,Luna
sun,soare|soarele
star,stea|steaua
planet,planetă|planeta
coast,coastă|coasta
lake,lac|lacul
forest,pădure|pădurea
desert,deșert|deșertul
hill,deal|dealul
rock,piatră|piatra
river,râu|râul
valley,vale|valea
mountain,munte|muntele
island,insulă|insula
ocean,ocean|oceanul
sea,mare|marea
ice,gheață|gheața
snow,zăpadă|zăpada
storm,vijelie|vijelia
rain,ploaie|ploaia
wind,vânt|vântul
tree,copac|copacul
grass,iarbă|iarba
rose,trandafir|trandafirul
flower,floare|floarea
metal,metal|metalul
soil,sol|solul
lava,lavă|lava
coal,cărbune|cărbunele
sand,nisip|nisipul
clay,argilă|argila
rocket,rachetă|racheta
satellite,satelit|satelitul
galaxy,galaxie|galaxia
asteroid,asteroid|asteroidul
continent,continent|continentul
equator,ecuator|ecuatorul
South Pole,Polul Sud
North Pole,Polul Nord
stream,izvor|izvorul
rainforest,pădure tropicală|pădurea tropicală
cave,peșteră|peștera
waterfall,cascadă|cascada
shore,litoral|litoralul
glacier,ghețar|ghețarul
earthquake,cutremur|cutremurul
crater,crater|craterul
volcano,vulcan|vulcanul
atmosphere,atmosferă|atmosfera
flood,inundație|inundația
fog,ceață|ceața
rainbow,curcubeu|curcubeul
thunder,tunet|tunetul
lightning,fulger|fulgerul
thunderstorm,furtună|furtuna
temperature,temperatură|temperatura
typhoon,taifun|taifunul
hurricane,uragan|uraganul
cloud,nor|norul
branch,ramură|ramura
leaf,frunză|frunza
root,rădăcină|rădăcina
trunk,trunchi|trunchiul
seed,sămânță|sămânța
plastic,plastic|plasticul
carbon dioxide,dioxid de carbon|dioxidul de carbon
atom,atom|atomul
iron,fier|fierul
oxygen,oxigen|oxigenul
gold,aur|aurul
silver,argint|argintul
