gymnastics,gimnastică|gimnastica
tennis,tenis|tenisul
running,alergare|alergarea
cycling,ciclism|ciclismul
golf,golf|golful
football,fotbal|fotbalul
basketball,baschet|baschetul
swimming,înot|înotul
diving,scufundare|scufundarea
hiking,drumeție|drumeția
marathon,maraton|maratonul
triathlon,triatlon|triatlonul
table tennis,tenis de masă|tenisul de masă
weightlifting,haltere|halterele
boxing,box|boxul
badminton,badminton|badmintonul
figure skating,patinaj artistic|patinajul artistic
snowboarding,snow-board|snow-boardul
skiing,schi|schiul
cross-country skiing,schi fond|schiul fond
ice hockey,hochei pe gheață|hocheiul pe gheață
volleyball,volei|voleiul
handball,handbal|handbalul
beach volleyball,volei de plajă|voleiul de plajă
rugby,rugbi|rugbiul
cricket,crichet|crichetul
baseball,baseball|baseballul
American football,fotbal american|fotbalul american
water polo,polo pe apă|poloul pe apă
diving,sărituri în apă|săriturile în apă
surfing,surfing|surfingul
sailing,navigație|navigația
rowing,canotaj|canotajul
yoga,yoga|yoga
dancing,dans|dansul
parachuting,parașutism|parașutismul
chess,șah|șahul
poker,poker|pokerul
bowling,bowling|bowlingul
ballet,balet|baletul
