81,optzeci și unu
84,optzeci și patru
88,optzeci și opt
90,nouăzeci
91,nouăzeci și unu
95,nouăzeci și cinci
99,nouăzeci și nouă
100,o sută
1000,o mie
10.000,zece mii
100.000,o sută de mii
1.000.000,un milion
my dog,cățelul meu
your cat,pisica ta
her dress,rochia ei
his car,mașina lui
its ball,mingea lui
our home,casa noastră
your team,echipa voastră
their company,firma lor
everybody,toți
together,împreună
other,alt
doesn't matter,nu contează
cheers,noroc
relax,liniștește-te
I agree,Sunt de acord
welcome,bine ați venit
no worries,nicio problemă
turn right,întoarce la dreapta
turn left,întoarce la stânga
go straight,mergi tot înainte
Come with me,Vino cu mine
egg,ou|oul
cheese,brânză|brânza
milk,lapte|laptele
fish,pește|peștele
meat,carne|carnea
vegetable,legumă|leguma
fruit,fruct|fructul
bone,os|osul
oil,ulei|uleiul
bread,pâine|pâinea
sugar,zahăr|zahărul
chocolate,ciocolată|ciocolata
candy,bomboană|bomboana
cake,prăjitură|prăjitura
drink,băutură|băutura
water,apă|apa
soda,apă minerală|apa minerală
