audience,audiență|audiența
painting,pictură|pictura
joke,glumă|gluma
article,articol|articolul
newspaper,ziar|ziarul
magazine,revistă|revista
advertisement,publicitate|publicitatea
nature,natură|natura
ash,cenușă|cenușa
fire,foc|focul
diamond,diamant|diamantul
moon,Luna
earth,Pământ
sun,soare|soarele
star,stea|steaua
planet,planetă|planeta
universe,univers|universul
coast,coastă|coasta
lake,lac|lacul
forest,pădure|pădurea
desert,deșert|deșertul
hill,deal|dealul
rock,piatră|piatra
river,râu|râul
valley,vale|valea
mountain,munte|muntele
island,insulă|insula
ocean,ocean|oceanul
sea,mare|marea
weather,vreme|vremea
ice,gheață|gheața
snow,zăpadă|zăpada
storm,vijelie|vijelia
rain,ploaie|ploaia
wind,vânt|vântul
plant,plantă|planta
tree,copac|copacul
grass,iarbă|iarba
rose,trandafir|trandafirul
flower,floare|floarea
gas,gaz|gazul
metal,metal|metalul
gold,aur|aurul
silver,argint|argintul
Silver is cheaper than gold,Argintul este mai ieftin decât aurul
Gold is more expensive than silver,Aurul este mai scump decât argintul
holiday,vacanță|vacanța
member,membru|membrul
hotel,hotel|hotelul
beach,plajă|plaja
