doctor,doctor|doctorul
nurse,asistentă medicală|asistenta medicală
policeman,polițist|polițistul
president,președinte|președintele
captain,căpitan|căpitanul
detective,detectiv|detectivul
pilot,pilot|pilotul
professor,profesor|profesorul
teacher,profesor|profesorul
lawyer,avocat|avocatul
secretary,secretară|secretara
assistant,asistent|asistentul
judge,judecător|judecătorul
manager,manager|managerul
cook,bucătar|bucătarul
taxi driver,șofer de taxi|șoferul de taxi
bus driver,șofer de autobuz|șoferul de autobuz
model,model|modelul
artist,artist|artistul
prime minister,prim-ministru|prim-ministrul
pharmacist,farmacist|farmacistul
firefighter,pompier|pompierul
dentist,dentist|dentistul
entrepreneur,antreprenor|antreprenorul
politician,politician|politicianul
programmer,programator|programatorul
stewardess,stewardesă|stewardesa
scientist,om de știință|omul de știință
kindergarten teacher,învățătoare|învățătoarea
architect,arhitect|arhitectul
accountant,contabil|contabilul
consultant,consultant|consultantul
prosecutor,procuror|procurorul
general manager,manager general|managerul general
bodyguard,bodyguard|bodyguardul
landlord,proprietar|proprietarul
waiter,chelner|chelnerul
security guard,paznic|paznicul
soldier,soldat|soldatul
fisherman,pescar|pescarul
cleaner,om de serviciu|omul de serviciu
plumber,instalator|instalatorul
electrician,electrician|electricianul
farmer,fermier|fermierul
receptionist,recepționer|recepționerul
postman,poștaș|poștașul
cashier,casier|casierul
hairdresser,coafeză|coafeza
author,autor|autorul
journalist,jurnalist|jurnalistul
photographer,fotograf|fotograful
lifeguard,salvamar|salvamarul
singer,cântăreț|cântărețul
musician,muzician|muzicianul
actor,actor|actorul
reporter,reporter|reporterul
coach,antrenor|antrenorul
referee,arbitru|arbitrul
