telephone,telefon|telefonul
TV set,televizor|televizorul
camera,cameră foto|camera foto
radio,radio|radioul
fan,ventilator|ventilatorul
air conditioner,aer condiționat|aerul condiționat
coffee machine,cafetieră|cafetiera
toaster,prăjitor de pâine|prăjitorul de pâine
vacuum cleaner,aspirator|aspiratorul
hairdryer,uscător de păr|uscătorul de păr
kettle,ceainic|ceainicul
dishwasher,mașină de spălat vase|mașina de spălat vase
cooker,aragaz|aragazul
oven,cuptor|cuptorul
microwave,cuptor cu microunde|cuptorul cu microunde
fridge,frigider|frigiderul
washing machine,mașină de spălat|mașina de spălat
remote control,telecomandă|telecomanda
earphone,cască|casca
mouse,mouse|mouse-ul
keyboard,tastatură|tastatura
hard drive,harddisk|harddiskul
USB stick,memorie USB|memoria USB
scanner,scaner|scanerul
printer,imprimantă|imprimanta
screen,ecran|ecranul
laptop,laptop|laptopul
robot,robot|robotul
loudspeaker,difuzor|difuzorul
