I,eu
you,tu
he,el
she,ea
it,el/ea
we,noi
you,voi
they,ei/ele
what,ce
who,cine
where,unde
why,de ce
how,cum
which,care
when,când
then,apoi
if,dacă
really,chiar
but,dar
because,deoarece
not,nu
this,acesta
I need this,Am nevoie de asta
How much is this?,Cât costă asta?
that,acela
all,tot
or,sau
and,și
to know,a ști|știu|știind|știut
I know,Știu
I don't know,Nu știu
to think,a gândi|gândesc|gândind|gândit
to come,a veni|vin|venind|venit
to put,a pune|pun|punând|pus
to take,a lua|iau|luând|luat
to find,a găsi|găsesc|găsind|găsit
to listen,a asculta|ascult|ascultând|ascultat
to work,a lucra|lucrez|lucrând|lucrat
to talk,a vorbi|vorbesc|vorbind|vorbit
to give,a da|dau|dând|dat
to like,a plăcea|plac|plăcând|plăcut
to help,a ajuta|ajut|ajutând|ajutat
to love,a iubi|iubesc|iubind|iubit
to call,a da un apel telefonic|dau|dând|dat
to wait,a aștepta|aștept|așteptând|așteptat
I like you,Îmi place de tine
I don't like this,Nu-mi place asta
Do you love me?,Mă iubești?
I love you,Te iubesc
0,zero
