Where is the toilet?,Unde este toaleta?
I miss you,Mi-e dor de tine
spring,primăvară|primăvara
summer,vară|vara
autumn,toamnă|toamna
winter,iarnă|iarna
January,ianuarie
February,februarie
March,martie
April,aprilie
May,mai
June,iunie
July,iulie
August,august
September,septembrie
October,octombrie
November,noiembrie
December,decembrie
shopping,cumpărături|cumpărăturile
bill,bon|bonul
market,piață|piața
supermarket,supermarket|supermarketul
building,clădire|clădirea
apartment,apartament|apartamentul
university,universitate|universitatea
farm,fermă|ferma
church,biserică|biserica
restaurant,restaurant|restaurantul
bar,bar|barul
gym,sală de fitness|sala de fitness
park,parc|parcul
toilet,toaletă|toaleta
map,hartă|harta
ambulance,ambulanță|ambulanța
police,poliție|poliția
gun,pistol|pistolul
firefighters,pompieri|pompierii
country,țară|țara
suburb,suburbie|suburbia
village,sat|satul
health,sănătate|sănătatea
medicine,medicină|medicina
accident,accident|accidentul
patient,pacient|pacientul
surgery,operație|operația
pill,pastilă|pastila
fever,febră|febra
cold,răceală|răceala
wound,rană|rana
appointment,programare|programarea
