bye bye,pa pa
good bye,la revedere
excuse me,mă scuzați
sorry,scuze
thank you,mulțumesc
please,te rog
I want this,Vreau asta
now,acum
afternoon,după-amiază|după-amiaza
morning,dimineață|dimineața
night,noapte|noaptea
morning,zori|zorii
evening,seară|seara
noon,amiază|amiaza
midnight,miezul nopții
hour,oră|ora
minute,minut|minutul
second,secundă|secunda
day,zi|ziua
week,săptămână|săptămâna
month,lună|luna
year,an|anul
time,timp|timpul
date,dată|data
the day before yesterday,alaltăieri
yesterday,ieri
today,astăzi
tomorrow,mâine
the day after tomorrow,poimâine
Monday,luni
Tuesday,marţi
Wednesday,miercuri
Thursday,joi
Friday,vineri
Saturday,sâmbătă
Sunday,duminică
Tomorrow is Saturday,Mâine este sâmbătă
life,viață|viața
woman,femeie|femeia
man,bărbat|bărbatul
love,iubire|iubirea
boyfriend,iubit|iubitul
girlfriend,iubită|iubita
friend,prieten|prietenul
kiss,sărut|sărutul
sex,sex|sexul
child,copil|copilul
baby,bebeluș|bebelușul
girl,fată|fata
boy,băiat|băiatul
