artist,artist|artistul
telephone number,număr de telefon|numărul de telefon
signal,semnal|semnalul
app,aplicație|aplicația
chat,chat|chatul
file,fișier|fișierul
url,url|url-ul
e-mail address,adresă de e-mail|adresa de e-mail
website,website|website-ul
e-mail,e-mail|e-mailul
mobile phone,telefon mobil|telefonul mobil
law,lege|legea
prison,închisoare|închisoarea
evidence,dovadă|dovada
fine,amendă|amenda
witness,martor|martorul
court,tribunal|tribunalul
signature,semnătură|semnătura
loss,pagubă|paguba
profit,profit|profitul
customer,client|clientul
amount,sumă|suma
credit card,card de credit|cardul de credit
password,parolă|parola
cash machine,bancomat|bancomatul
swimming pool,piscină|piscina
power,curent electric|curentul electric
camera,cameră foto|camera foto
radio,radio|radioul
present,cadou|cadoul
bottle,sticlă|sticla
bag,sacoșă|sacoșa
key,cheie|cheia
doll,păpușă|păpușa
angel,înger|îngerul
comb,pieptăn|pieptănul
toothpaste,pastă de dinți|pasta de dinți
toothbrush,periuță de dinți|periuța de dinți
shampoo,șampon|șamponul
cream,cremă|crema
tissue,șervețel|șervețelul
lipstick,ruj|rujul
TV,televizor|televizorul
cinema,cinema|cinemaul
news,știre|știrea
seat,loc|locul
ticket,bilet|biletul
screen,ecran|ecranul
music,muzică|muzica
stage,scenă|scena
