hospital,spital|spitalul
school,școală|școala
house,casă|casa
bill,bon|bonul
market,piață|piața
supermarket,supermarket|supermarketul
apartment,apartament|apartamentul
university,universitate|universitatea
farm,fermă|ferma
church,biserică|biserica
restaurant,restaurant|restaurantul
bar,bar|barul
gym,sală de fitness|sala de fitness
park,parc|parcul
toilet,toaletă|toaleta
map,hartă|harta
ambulance,ambulanță|ambulanța
police,poliție|poliția
firefighters,pompieri|pompierii
country,țară|țara
suburb,suburbie|suburbia
village,sat|satul
warranty,garanție|garanția
shopping mall,centru comercial|centrul comercial
pharmacy,farmacie|farmacia
skyscraper,zgârie-nori|zgârie-noriul
castle,castel|castelul
embassy,ambasadă|ambasada
synagogue,sinagogă|sinagoga
temple,templu|templul
factory,fabrică|fabrica
mosque,moschee|moscheea
town hall,primărie|primăria
post office,poștă|poșta
fountain,fântână arteziană|fântâna arteziană
night club,club de noapte|clubul de noapte
bench,bancă|banca
golf course,teren de golf|terenul de golf
football stadium,stadion de fotbal|stadionul de fotbal
swimming pool,piscină|piscina
tennis court,teren de tenis|terenul de tenis
tourist information,centru de informare turistică|centrul de informare turistică
casino,cazino|cazinoul
art gallery,galerie de artă|galeria de artă
museum,muzeu|muzeul
national park,parc național|parcul național
souvenir,suvenir|suvenirul
aquarium,acvariu|acvariul
water slide,tobogan de apă|toboganul de apă
roller coaster,montagne russe|montagne russe
water park,parc acvatic|parcul acvatic
zoo,grădină zoologică|grădina zoologică
playground,loc de joacă|locul de joacă
emergency exit,ieșire de urgență|ieșirea de urgență
fire alarm,alarmă de incendiu|alarma de incendiu
fire extinguisher,extinctor|extinctorul
police station,secție de poliție|secția de poliție
state,stat|statul
region,regiune|regiunea
capital,capitală|capitala
