mum,mami|mămica
dad,tati|tăticul
mother,mamă|mama
father,tată|tatăl
parents,părinți|părinții
son,fiu|fiul
daughter,fiică|fiica
little sister,soră mai mică|sora mai mică
little brother,frate mai mic|fratele mai mic
big sister,soră mai mare|sora mai mare
big brother,frate mai mare|fratele mai mare
to stand,a sta|stau|stând|stat
to sit,a se așeza|mă așez|așezându-mă|așezat
to lie,a se întinde|mă întind|întinzându-mă|întins
to close,a închide|închid|închizând|închis
to open,a deschide|deschid|deschizând|deschis
to lose,a pierde|pierd|pierzând|pierdut
to win,a câștiga|câștig|câștigând|câștigat
to die,a muri|mor|murind|murit
to live,a trăi|trăiesc|trăind|trăit
to turn on,a aprinde|aprind|aprinzând|aprins
to turn off,a stinge|sting|stingând|stins
to kill,a ucide|ucid|ucigând|ucis
to injure,a răni|rănesc|rănind|rănit
to touch,a atinge|ating|atingând|atins
to watch,a privi|privesc|privind|privit
to drink,a bea|beau|bând|băut
to eat,a mânca|mănânc|mâncând|mâncat
to walk,a umbla|umblu|umblând|umblat
to meet,a întâlni|întâlnesc|întâlnind|întâlnit
to bet,a paria|pariez|pariind|pariat
to kiss,a săruta|sărut|sărutând|sărutat
to follow,a urmări|urmăresc|urmărind|urmărit
to marry,a se căsători|mă căsătoresc|căsătorindu-mă|căsătorit
to answer,a răspunde|răspund|răspunzând|răspuns
to ask,a întreba|întreb|întrebând|întrebat
question,întrebare|întrebarea
company,firmă|firma
business,afacere|afacerea
job,meserie|meseria
money,bani|banii
telephone,telefon|telefonul
office,birou|biroul
doctor,doctor|doctorul
hospital,spital|spitalul
nurse,asistentă medicală|asistenta medicală
policeman,polițist|polițistul
president,președinte|președintele
white,alb|albă|alb|albi/albe
black,negru|neagră|negru|negri/negre
