money,bani|banii
office,birou|biroul
stress,stres|stresul
insurance,asigurare|asigurarea
staff,personal|personalul
department,departament|departamentul
salary,salariu|salariul
address,adresă|adresa
letter,scrisoare|scrisoarea
telephone number,număr de telefon|numărul de telefon
url,url|url-ul
e-mail address,adresă de e-mail|adresa de e-mail
website,website|website-ul
e-mail,e-mail|e-mailul
signature,semnătură|semnătura
loss,pagubă|paguba
profit,profit|profitul
customer,client|clientul
amount,sumă|suma
credit card,card de credit|cardul de credit
password,parolă|parola
cash machine,bancomat|bancomatul
tax,taxă|taxa
meeting room,sală de ședințe|sala de ședințe
business card,carte de vizită|cartea de vizită
IT,IT
human resources,resurse umane|resursele umane
legal department,departament juridic|departamentul juridic
accounting,departament de contabilitate|departamentul de contabilitate
marketing,departament de marketing|departamentul de marketing
sales,departament de vânzări|departamentul de vânzări
colleague,coleg|colegul
employer,angajator|angajatorul
employee,angajat|angajatul
note,notiță|notița
presentation,prezentare|prezentarea
folder,dosar|dosarul
rubber stamp,ștampilă|ștampila
projector,proiector|proiectorul
parcel,colet|coletul
stamp,timbru|timbrul
envelope,plic|plicul
browser,navigator|navigatorul
investment,investiție|investiția
stock exchange,bursă|bursa
note,bancnotă|bancnota
coin,monedă|moneda
interest,dobândă|dobânda
loan,împrumut|împrumutul
account number,număr de cont|numărul de cont
bank account,cont bancar|contul bancar
