new,nou|nouă|nou|noi
old,vechi|veche|vechi|vechi
few,puțini|puține
many,mulți|multe
wrong,greșit|greșită|greșit|greșiți|greșite
correct,corect|corectă|corect|corecți|corecte
bad,rău|rea|rău|răi|rele
good,bun|bună|bun|buni|bune
happy,fericit|fericită|fericit|fericiți|fericite
short,scurt|scurtă|scurt|scurți|scurte
long,lung|lungă|lung|lungi
small,mic|mică|mic|mici
big,mare|mare|mare|mari
beautiful,frumos|frumoasă|frumos|frumoși|frumoase
young,tânăr|tânără|tânăr|tineri|tinere
old,bătrân|bătrână|bătrân|bătrâni|bătrâne
white,alb|albă|alb|albi|albe
black,negru|neagră|negru|negri|negre
red,roșu|roșie|roșu|roșii
blue,albastru|albastră|albastru|albaștri|albastre
green,verde|verde|verde|verzi
yellow,galben|galbenă|galben|galbeni|galbene
slow,lent|lentă|lent|lenți|lente
quick,rapid|rapidă|rapid|rapizi|rapide
funny,amuzant|amuzantă|amuzant|amuzanți|amuzante
unfair,nedrept|nedreaptă|nedrept|nedrepți|nedrepte
fair,corect|corectă|corect|corecți|corecte
difficult,dificil|dificilă|dificil|dificili|dificile
easy,simplu|simplă|simplu|simpli|simple
rich,bogat|bogată|bogat|bogați|bogate
poor,sărac|săracă|sărac|săraci|sărace
strong,puternic|puternică|puternic|puternici|puternice
weak,slab|slabă|slab|slabi|slabe
safe,sigur|sigură|sigur|siguri|sigure
tired,obosit|obosită|obosit|obosiți|obosite
proud,mândru|mândră|mândru|mândri|mândre
full,plin|plină|plin|plini|pline
sick,bolnav|bolnavă|bolnav|bolnavi|bolnave
healthy,sănătos|sănătoasă|sănătos|sănătoși|sănătoase
angry,furios|furioasă|furios|furioși|furioase
low,jos|joasă|jos|joși|joase
high,înalt|înaltă|înalt|înalți|înalte
sweet,dulce|dulce|dulce|dulci
sour,acru|acră|acru|acri|acre
soft,moale|moale|moale|moi
hard,tare|tare|tare|tari
cute,drăguț|drăguță|drăguț|drăguți|drăguțe
stupid,prost|proastă|prost|proști|proaste
crazy,nebun|nebună|nebun|nebuni|nebune
busy,ocupat|ocupată|ocupat|ocupați|ocupate
tall,înalt|înaltă|înalt|înalți|înalte
short,scund|scundă|scund|scunzi|scunde
worried,îngrijorat|îngrijorată|îngrijorat|îngrijorați|îngrijorate
surprised,surprins|surprinsă|surprins|surprinși|surprinse
well-behaved,cuminte|cuminte|cuminte|cuminți
evil,rău|rea|rău|răi|rele
clever,deștept|deșteaptă|deștept|deștepți|deștepte
cold,rece|rece|rece|reci
hot,fierbinte|fierbinte|fierbinte|fierbinți
orange,portocaliu|portocalie|portocaliu|portocalii
grey,gri|gri|gri|gri
brown,maro|maro|maro|maro
pink,roz|roz|roz|roz
boring,plictisitor|plictisitoare|plictisitor|plictisitori|plictisitoare
heavy,greu|grea|greu|grei|grele
light,ușor|ușoară|ușor|ușori|ușoare
lonely,singur|singură|singur|singuri|singure
hungry,înfometat|înfometată|înfometat|înfometați|înfometate
thirsty,însetat|însetată|însetat|însetați|însetate
sad,trist|tristă|trist|triști|triste
steep,abrupt|abruptă|abrupt|abrupți|abrupte
flat,plat|plată|plat|plați|plate
narrow,îngust|îngustă|îngust|înguști|înguste
broad,lat|lată|lat|lați|late
deep,adânc|adâncă|adânc|adânci
shallow,puțin adânc|adâncă|adânc|adânci
huge,uriaș|uriașă|uriaș|uriași|uriașe
dirty,murdar|murdară|murdar|murdari|murdare
clean,curat|curată|curat|curați|curate
full,plin|plină|plin|plini|pline
empty,gol|goală|gol|goi|goale
expensive,scump|scumpă|scump|scumpi|scumpe
cheap,ieftin|ieftină|ieftin|ieftini|ieftine
sexy,sexy|sexy|sexy|sexy
lazy,leneș|leneșă|leneș|leneși|leneșe
brave,curajos|curajoasă|curajos|curajoși|curajoase
generous,generos|generoasă|generos|generoși|generoase
wet,umed|umedă|umed|umezi|umede
dry,uscat|uscată|uscat|uscați|uscate
loud,zgomotos|zgomotoasă|zgomotos|zgomotoși|zgomotoase
quiet,liniştit|liniştită|liniştit|liniştiti|liniştite
sunny,însorit|însorită|însorit|însoriți|însorite
rainy,ploios|ploioasă|ploios|ploioși|ploioase
foggy,încețoșat|încețoșată|încețoșat|încețoșați|încețoșate
cloudy,înnorat|înnorată|înnorat|înnorați|înnorate
